field,precision,recall,f1,true_positive
sn,0.4647209267338649,1.0,0.6345521774856203,3089
NP,0.4287648563261622,0.9226286824214956,0.585456039441249,2850
bacteria,0.2984805175267038,0.6422790547102623,0.4075595727198028,1984
strain,0.25891379569730705,0.5571382324376821,0.35353327855382083,1721
NP_synthesis,0.01444260568677599,0.03107801877630301,0.01972062448644207,96
drug,0.23905521287799006,0.5144059566202654,0.32641741988496303,1589
drug_dose_µg_disk,0.346772980291861,0.7461961799935254,0.4735004108463435,2305
NP_concentration_µg_ml,0.3368436888822025,0.724830042084817,0.4599424815119145,2239
NP_size_min_nm,0.1707537234842786,0.36743282615733247,0.23315529991783074,1135
NP_size_max_nm,0.1612757635023319,0.34703787633538363,0.22021364009860314,1072
NP_size_avg_nm,0.17842635775537838,0.3839430236322434,0.24363188167625308,1186
shape,0.2798254851812848,0.6021366137908708,0.38208709942481517,1860
method,0.3375959079283887,0.7264486888960828,0.46096959737058335,2244
ZOI_drug_mm_or_MIC _µg_ml,0.18835564916503686,0.40530916154095176,0.257189811010682,1252
error_ZOI_drug_mm_or_MIC_µg_ml,0.4505792086655634,0.9695694399482033,0.6152423993426459,2995
ZOI_NP_mm_or_MIC_np_µg_ml,0.32074620129381676,0.6901910003237294,0.43796220213640097,2132
error_ZOI_NP_mm_or_MIC_np_µg_ml,0.4304197382277719,0.9261897054062803,0.5877156943303204,2861
ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,0.3108169098841583,0.668824862415021,0.42440427280197207,2066
error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,0.4415525801113284,0.9501456782130139,0.6029170090386196,2935
fold_increase_in_antibacterial_activity,0.3709944335790582,0.7983166073162836,0.5065735414954807,2466
zeta_potential_mV,0.35835715360312925,0.7711233408870185,0.4893179950698439,2382
MDR,0.43538438393260115,0.9368727743606345,0.594494658997535,2894
FIC,0.4514818715209869,0.9715118161217222,0.6164749383730485,3001
effect,0.4556942981796299,0.9805762382648107,0.6222267871815941,3029
reference,0.0,0.0,0.0,0
doi,0.23529411764705882,0.5063127225639366,0.3212818405916187,1564
article_list,0.0,0.0,0.0,0
time_hr,0.3029938318038213,0.6519909355778569,0.41372226787181593,2014
coating_with_antimicrobial_peptide_polymers,0.41913645253497817,0.9019100032372936,0.5723089564502876,2786
combined_MIC,0.42771174966150144,0.9203625768857235,0.5840180772391126,2843
peptide_MIC,0.45945539341056113,0.9886694723211396,0.6273623664749383,3054
viability_%,0.45900406198284943,0.9876982842343801,0.6267460969597372,3051
viability_error,0.4611102753121709,0.9922304953059242,0.6296220213640098,3065
journal_name,0.0,0.0,0.0,0
publisher,0.0,0.0,0.0,0
year,0.39702121257710243,0.8543217869860796,0.5421117502054231,2639
title,0.003911539040168497,0.008416963418582066,0.005341002465078061,26
journal_is_oa,0.0,0.0,0.0,0
is_oa,0.0,0.0,0.0,0
oa_status,0.00015044380923724988,0.0003237293622531564,0.0002054231717337716,1
pdf,0.2575598014141718,0.5542246681774037,0.3516844700082169,1712
access,0.0,0.0,0.0,0
